,Unnamed: 0,picker_host,wms_sku_id,sku_name,sku_weight_g,sku_dimensions_mm,task_success,pick_success,place_success,task_total,pick_total,place_total,p
3045,3045,ropi03,905370,Country Life Otruby ovesné,250.0,"[44, 107, 163]",1,1.0,1.0,1,1,1,1.0
3050,3050,ropi03,906360,Nestlé Sinlac Nemléčná kaše,559.0,"[210, 144, 62]",2,2.0,2.0,2,2,2,1.0
3060,3060,ropi03,907527,Vitana Poctivá Bramboračka s houbami,104.0,"[27, 144, 196]",1,1.0,1.0,1,1,1,1.0
3061,3061,ropi03,907530,Vitana Poctivá Gulášová polévka,108.0,"[28, 145, 193]",2,2.0,2.0,2,2,2,1.0
3071,3071,ropi03,908124,Šmajstrla Pohanková krupice,404.0,"[43, 155, 175]",2,2.0,2.0,2,2,2,1.0
3086,3086,ropi03,910011,Kotányi Guláš,30.0,"[11, 102, 139]",1,1.0,1.0,1,1,1,1.0
3095,3095,ropi03,911298,"Kotányi Šafrán 0,12g",4.0,"[10, 103, 139]",1,0.0,0.0,3,1,0,0.0
3106,3106,ropi03,914016,Kotányi Kopr sušený,10.0,"[13, 103, 139]",1,1.0,1.0,1,1,1,1.0
3114,3114,ropi03,915927,Vitana Salátové koření,30.0,"[12, 97, 136]",1,1.0,1.0,1,1,1,1.0
3117,3117,ropi03,916947,Kotányi Salát Tsatsiki,16.0,"[11, 89, 134]",1,1.0,1.0,1,1,1,1.0
3131,3131,ropi03,918456,Bonavita Chia kaše oves s malinami,70.0,"[18, 117, 158]",2,2.0,2.0,2,2,2,1.0
3134,3134,ropi03,919299,Kotányi Nové koření mleté,18.0,"[11, 103, 139]",2,2.0,2.0,3,2,2,1.0
3143,3143,ropi03,920892,Yum Yum Instantní nudlová polévka hovězí,100.0,"[47, 81, 94]",2,2.0,2.0,2,2,2,1.0
3170,3170,ropi03,928407,Knorr Snack Těstoviny Carbonara se sýrovou omáčkou a slaninou,70.0,"[102, 93, 93]",2,2.0,2.0,2,2,2,1.0
3171,3171,ropi03,928413,Knorr Snack Bramborová kaše se slaninou a cibulí,80.0,"[101, 93, 94]",1,1.0,1.0,1,1,1,1.0
3175,3175,ropi03,929034,Knorr Nudle s rajčatovou polévkou,80.0,"[172, 120, 33]",0,1.0,1.0,1,1,1,1.0
3202,3202,ropi03,937425,Vitana Citronovo-bylinková zálivka tekutá,66.0,"[160, 100, 17]",1,1.0,1.0,1,1,1,1.0
3205,3205,ropi03,938022,Nestlé Yogolino Mléčný dezert s kakaem,432.0,"[127, 127, 62]",1,1.0,1.0,1,1,1,1.0
3222,3222,ropi03,945150,Mixit Malé křupavé ovoce,150.0,"[130, 100, 100]",1,1.0,1.0,1,1,1,1.0
3240,3240,ropi03,959259,Nutrifree světlý chléb bez lepku,158.0,"[130, 150, 40]",2,2.0,2.0,2,2,2,1.0
3243,3243,ropi03,961185,Druid Vegetariánská pomazánka s hlívou ústřičnou bez lepku,106.0,"[28, 83, 83]",1,1.0,1.0,1,1,1,1.0
3244,3244,ropi03,961221,NOMINAL BIO Nomina Cereální kaše pohanková,346.0,"[190, 145, 45]",1,1.0,1.0,1,1,1,1.0
3245,3245,ropi03,961506,Extrudo Crispins BIO protein křehký plátek,140.0,"[145, 125, 48]",4,4.0,4.0,4,4,4,1.0
3246,3246,ropi03,961515,Extrudo Crispins BIO cizrnový křehký plátek,136.0,"[145, 125, 48]",1,1.0,1.0,1,1,1,1.0
3257,3257,ropi03,963816,Adveni Tapiokový škrob bez lepku,257.0,"[200, 160, 30]",5,6.0,6.0,6,6,6,1.0
